PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,CSAD
35,3503,3503,1985,"Wheat, all",56500,22800,56500,22800,1,57.7,-99,3900,3259,-99,88700,57.7,-99,3890,0.00,Central Ontario Region 3 - Ontario
35,3504,3504,1985,Barley,76000,30700,76000,30700,1,66.2,-99,3600,5032,-99,109600,66.2,-99,3570,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1985,Corn for grain,173300,70200,173300,70200,1,85.7,-99,5400,14847,-99,377100,85.7,-99,5372,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1985,Oats,68700,27700,68700,27700,1,65.4,-99,2500,4494,-99,69400,65.4,-99,2505,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1985,"Wheat, all",9000,3600,9000,3600,1,55,-99,3800,495,-99,13500,55.0,-99,3750,-0.01,Eastern Ontario Region 4 - Ontario
35,3505,3505,1985,Barley,47500,19100,47500,19100,1,55.2,-99,3000,2624,-99,57100,55.2,-99,2990,0.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1985,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1985,Oats,26700,10700,26700,10700,1,50.9,-99,2000,1359,-99,21000,50.9,-99,1963,-0.02,Northern Ontario Region 5 - Ontario
35,3505,3505,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1985,"Wheat, all",1000,400,1000,400,1,45,-99,3000,45,-99,1200,45.0,-99,3000,0.00,Northern Ontario Region 5 - Ontario
35,all,all,1985,Barley,520000,210000,520000,210000,1,66.7,-99,3600,34666,-99,755000,66.7,-99,3595,0.00,Ontario
35,all,all,1985,Corn for grain,2100000,850000,2100000,850000,1,101.9,-99,6400,214000,-99,5436000,101.9,-99,6395,0.00,Ontario
35,all,all,1985,Oats,280000,113000,280000,113000,1,67.3,-99,2600,18850,-99,291000,67.3,-99,2575,-0.01,Ontario
35,all,all,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Ontario
35,all,all,1985,"Wheat, all",555000,224100,555000,224100,1,65.9,-99,4400,36581,-99,995500,65.9,-99,4442,0.01,Ontario
35,3501,3501,1986,Barley,77800,31500,76000,30800,0.976863753,53.8,-99,2900,4095,-99,89200,53.9,-99,2896,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1986,Corn for grain,1002100,405600,1002100,405600,1,110.4,-99,6900,110655,-99,2810800,110.4,-99,6930,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1986,Oats,69700,28200,55800,22600,0.800573888,59.8,-99,2300,3337,-99,51500,59.8,-99,2279,-0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1986,"Wheat, all",392300,158800,370300,149900,0.943920469,53.1,-99,3600,19649,-99,534800,53.1,-99,3568,-0.01,Southern Ontario Region 1 - Ontario
35,3502,3502,1986,Barley,310700,125700,304100,123100,0.978757644,62.3,-99,3400,18961,-99,412800,62.4,-99,3353,-0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1986,Corn for grain,477700,193300,477700,193300,1,97.5,-99,6100,46578,-99,1183100,97.5,-99,6121,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1986,Oats,59000,23900,47300,19200,0.801694915,67.6,-99,2600,3199,-99,49300,67.6,-99,2568,-0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1986,"Wheat, all",200000,80900,188800,76400,0.944,58.1,-99,3900,10976,-99,298700,58.1,-99,3910,0.00,Western Ontario Region 2 - Ontario
35,3503,3503,1986,Barley,69500,28100,67900,27500,0.976978417,60.6,-99,3300,4118,-99,89700,60.6,-99,3262,-0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1986,Corn for grain,169100,68400,169100,68400,1,85.5,-99,5400,14466,-99,367500,85.5,-99,5373,-0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1986,Oats,49100,19900,39400,15900,0.802443992,62.6,-99,2400,2465,-99,38000,62.6,-99,2390,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
35,3503,3503,1986,"Wheat, all",70400,28500,66400,26900,0.943181818,53.7,-99,3600,3569,-99,97100,53.8,-99,3610,0.00,Central Ontario Region 3 - Ontario
35,3504,3504,1986,Barley,99300,40200,97200,39300,0.978851964,60.5,-99,3300,5879,-99,128000,60.5,-99,3257,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1986,Corn for grain,180700,73100,180700,73100,1,73.5,-99,4600,13283,-99,337400,73.5,-99,4616,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1986,Oats,60300,24400,48400,19600,0.8026534,59.2,-99,2300,2866,-99,44200,59.2,-99,2255,-0.02,Eastern Ontario Region 4 - Ontario
35,3504,3504,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1986,"Wheat, all",16200,6600,15300,6200,0.944444444,50,-99,3400,765,-99,20800,50.0,-99,3355,-0.01,Eastern Ontario Region 4 - Ontario
35,3505,3505,1986,Barley,45800,18500,44700,18100,0.975982533,52.5,-99,2800,2347,-99,51100,52.5,-99,2823,0.01,Northern Ontario Region 5 - Ontario
35,3505,3505,1986,Corn for grain,400,200,400,200,1,43.9,-99,2000,18,-99,400,45.0,-99,2000,0.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1986,Oats,23800,9600,19100,7700,0.802521008,48.8,-99,1900,932,-99,14400,48.8,-99,1870,-0.02,Northern Ontario Region 5 - Ontario
35,3505,3505,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1986,"Wheat, all",1200,500,1100,400,0.916666667,38.9,-99,3000,42,-99,1200,38.2,-99,3000,0.00,Northern Ontario Region 5 - Ontario
35,all,all,1986,Barley,603000,244000,590000,238800,0.978441128,60,-99,3200,35400,-99,770700,60.0,-99,3227,0.01,Ontario
35,all,all,1986,Corn for grain,1830000,740600,1830000,740600,1,101.1,-99,6300,185000,-99,4699200,101.1,-99,6345,0.01,Ontario
35,all,all,1986,Oats,262000,106000,210000,85000,0.801526718,61,-99,2300,12800,-99,197400,61.0,-99,2322,0.01,Ontario
35,all,all,1986,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Ontario
35,all,all,1986,"Wheat, all",756000,306000,718000,290600,0.94973545,53.1,-99,3600,38100,-99,1036500,53.1,-99,3567,-0.01,Ontario
35,3501,3501,1987,Barley,81800,33100,79000,32000,0.965770171,52.6,-99,2800,4157,-99,90500,52.6,-99,2828,0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1987,Corn for grain,1017000,411600,1017000,411600,1,117.9,-99,7400,119907,-99,3045800,117.9,-99,7400,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1987,Oats,67200,27200,61800,25000,0.919642857,56.2,-99,2100,3471,-99,53500,56.2,-99,2140,0.02,Southern Ontario Region 1 - Ontario
35,3501,3501,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1987,"Wheat, all",244500,98900,232900,94300,0.952556237,48.8,-99,3300,11366,-99,309300,48.8,-99,3280,-0.01,Southern Ontario Region 1 - Ontario
35,3502,3502,1987,Barley,298700,120900,288400,116700,0.965517241,64.1,-99,3500,18495,-99,402700,64.1,-99,3451,-0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1987,Corn for grain,503000,203600,503000,203600,1,122.3,-99,7700,61499,-99,1562100,122.3,-99,7672,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1987,Oats,69700,28200,64100,26000,0.919655667,67.2,-99,2600,4312,-99,66500,67.3,-99,2558,-0.02,Western Ontario Region 2 - Ontario
35,3502,3502,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1987,"Wheat, all",100100,40500,100100,40500,1,61,-99,4100,6106,-99,166200,61.0,-99,4104,0.00,Western Ontario Region 2 - Ontario
35,3503,3503,1987,Barley,68500,27700,66200,26800,0.966423358,60.9,-99,3300,4029,-99,87700,60.9,-99,3272,-0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1987,Corn for grain,151000,61100,151000,61100,1,103.5,-99,6500,15632,-99,397100,103.5,-99,6499,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1987,Oats,47800,19400,44000,17800,0.920502092,63,-99,2400,2772,-99,42700,63.0,-99,2399,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
35,3503,3503,1987,"Wheat, all",47900,19400,45000,18200,0.939457203,48.8,-99,3300,2196,-99,59800,48.8,-99,3286,0.00,Central Ontario Region 3 - Ontario
35,3504,3504,1987,Barley,90400,36600,87300,35300,0.965707965,56.7,-99,3100,4956,-99,107900,56.8,-99,3057,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1987,Corn for grain,169000,68400,169000,68400,1,106.3,-99,6700,17962,-99,456300,106.3,-99,6671,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1987,Oats,43400,17500,39900,16100,0.919354839,57.3,-99,2200,2285,-99,35200,57.3,-99,2186,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1987,"Wheat, all",6200,2500,5800,2400,0.935483871,48.2,-99,3200,282,-99,7700,48.6,-99,3208,0.00,Eastern Ontario Region 4 - Ontario
35,3505,3505,1987,Barley,40500,16400,39100,15800,0.965432099,60.5,-99,3300,2364,-99,51500,60.5,-99,3259,-0.01,Northern Ontario Region 5 - Ontario
35,3505,3505,1987,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1987,Oats,21900,8900,20200,8200,0.922374429,57.6,-99,2200,1161,-99,17900,57.5,-99,2183,-0.01,Northern Ontario Region 5 - Ontario
35,3505,3505,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1987,"Wheat, all",1200,500,1200,500,1,43.4,-99,2800,51,-99,1400,42.5,-99,2800,0.00,Northern Ontario Region 5 - Ontario
35,all,all,1987,Barley,580000,234700,560000,226600,0.965517241,60.7,-99,3300,34000,-99,740300,60.7,-99,3267,-0.01,Ontario
35,all,all,1987,Corn for grain,1840000,744600,1840000,744600,1,116.8,-99,7300,215000,-99,5461300,116.8,-99,7335,0.00,Ontario
35,all,all,1987,Oats,250000,101200,230000,93100,0.92,60.9,-99,2300,14000,-99,215900,60.9,-99,2319,0.01,Ontario
35,all,all,1987,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Ontario
35,all,all,1987,"Wheat, all",510000,206400,495000,200300,0.970588235,49.7,-99,3400,24700,-99,672300,49.9,-99,3356,-0.01,Ontario
35,3501,3501,1988,Barley,68600,27800,66100,26700,0.963556851,41.6,-99,2200,2748,-99,59800,41.6,-99,2240,0.02,Southern Ontario Region 1 - Ontario
35,3501,3501,1988,Corn for grain,948000,383600,948000,383600,1,88.9,-99,5600,84297,-99,2141200,88.9,-99,5582,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1988,Oats,67700,27400,62500,25300,0.923190547,41.1,-99,1600,2569,-99,39600,41.1,-99,1565,-0.02,Southern Ontario Region 1 - Ontario
35,3501,3501,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1988,"Wheat, all",433700,175500,422100,170800,0.973253401,54.3,-99,3700,22919,-99,623800,54.3,-99,3652,-0.01,Southern Ontario Region 1 - Ontario
35,3502,3502,1988,Barley,276700,112000,266600,107900,0.963498374,45.1,-99,2400,12022,-99,261700,45.1,-99,2425,0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1988,Corn for grain,471500,190800,471500,190800,1,76.6,-99,4800,36116,-99,917400,76.6,-99,4808,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1988,Oats,74700,30200,69000,27900,0.923694779,46.5,-99,1800,3210,-99,49500,46.5,-99,1774,-0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1988,"Wheat, all",228300,92400,222200,89900,0.973280771,57.3,-99,3900,12739,-99,346700,57.3,-99,3857,-0.01,Western Ontario Region 2 - Ontario
35,3503,3503,1988,Barley,65400,26500,63100,25500,0.964831804,46.5,-99,2500,2934,-99,63900,46.5,-99,2506,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1988,Corn for grain,149000,60300,149000,60300,1,74.2,-99,4700,11054,-99,280800,74.2,-99,4657,-0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1988,Oats,46500,18800,42900,17400,0.922580645,45.1,-99,1700,1935,-99,29800,45.1,-99,1713,0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
35,3503,3503,1988,"Wheat, all",73900,29900,71900,29100,0.972936401,44.7,-99,3000,3213,-99,87500,44.7,-99,3007,0.00,Central Ontario Region 3 - Ontario
35,3504,3504,1988,Barley,98200,39700,94600,38300,0.963340122,56.5,-99,3000,5344,-99,116300,56.5,-99,3037,0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1988,Corn for grain,171500,69400,171500,69400,1,90.6,-99,5700,15533,-99,394600,90.6,-99,5686,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1988,Oats,48400,19600,44600,18100,0.921487603,54,-99,2100,2409,-99,37200,54.0,-99,2055,-0.02,Eastern Ontario Region 4 - Ontario
35,3504,3504,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1988,"Wheat, all",12000,4800,11600,4700,0.966666667,46.4,-99,3100,540,-99,14700,46.6,-99,3128,0.01,Eastern Ontario Region 4 - Ontario
35,3505,3505,1988,Barley,41100,16600,39600,16000,0.96350365,49.3,-99,2700,1953,-99,42500,49.3,-99,2656,-0.02,Northern Ontario Region 5 - Ontario
35,3505,3505,1988,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1988,Oats,22800,9200,21000,8500,0.921052632,51.2,-99,2000,1077,-99,16600,51.3,-99,1953,-0.02,Northern Ontario Region 5 - Ontario
35,3505,3505,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1988,"Wheat, all",2200,900,2100,900,0.954545455,41.5,-99,2700,88,-99,2400,41.9,-99,2667,-0.01,Northern Ontario Region 5 - Ontario
35,all,all,1988,Barley,550000,222600,530000,214500,0.963636364,47.2,-99,2500,25000,-99,544300,47.2,-99,2538,0.02,Ontario
35,all,all,1988,Corn for grain,1740000,704200,1740000,704200,1,84.5,-99,5300,147000,-99,3734000,84.5,-99,5302,0.00,Ontario
35,all,all,1988,Oats,260000,105200,240000,97100,0.923076923,46.7,-99,1800,11200,-99,172700,46.7,-99,1779,-0.01,Ontario
35,all,all,1988,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Ontario
35,all,all,1988,"Wheat, all",805000,325800,785000,317700,0.97515528,53.1,-99,3600,41700,-99,1135000,53.1,-99,3573,-0.01,Ontario
35,3501,3501,1989,Barley,62300,25200,59900,24200,0.961476726,51.6,-99,2800,3089,-99,67200,51.6,-99,2777,-0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1989,Corn for grain,975200,394700,975200,394700,1,110.5,-99,6900,107808,-99,2738500,110.5,-99,6938,0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1989,Oats,72900,29500,71600,29000,0.982167353,54.8,-99,2100,3923,-99,60500,54.8,-99,2086,-0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1989,"Wheat, all",413500,167300,401900,162600,0.971946796,55.6,-99,3700,22339,-99,608000,55.6,-99,3739,0.01,Southern Ontario Region 1 - Ontario
35,3502,3502,1989,Barley,251500,101800,241500,97700,0.960238569,56,-99,3000,13512,-99,294200,56.0,-99,3011,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1989,Corn for grain,485000,196300,485000,196300,1,95.2,-99,6000,46189,-99,1173300,95.2,-99,5977,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1989,Oats,80500,32600,79000,32000,0.98136646,62,-99,2400,4901,-99,75600,62.0,-99,2363,-0.02,Western Ontario Region 2 - Ontario
35,3502,3502,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1989,"Wheat, all",217600,88100,211500,85600,0.971966912,58.7,-99,3900,12417,-99,337900,58.7,-99,3947,0.01,Western Ontario Region 2 - Ontario
35,3503,3503,1989,Barley,59500,24100,57100,23100,0.959663866,57.7,-99,3100,3298,-99,71800,57.8,-99,3108,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1989,Corn for grain,153300,62000,153300,62000,1,92.2,-99,5800,14137,-99,359100,92.2,-99,5792,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1989,Oats,50000,20200,49100,19900,0.982,60.1,-99,2300,2955,-99,45600,60.2,-99,2291,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
35,3503,3503,1989,"Wheat, all",70500,28500,68500,27700,0.971631206,45.7,-99,3100,3132,-99,85200,45.7,-99,3076,-0.01,Central Ontario Region 3 - Ontario
35,3504,3504,1989,Barley,89300,36100,85700,34700,0.95968645,70.1,-99,3800,6006,-99,130800,70.1,-99,3769,-0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1989,Corn for grain,176400,71400,176400,71400,1,112.6,-99,7100,19865,-99,504600,112.6,-99,7067,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1989,Oats,52100,21100,51200,20700,0.982725528,71.9,-99,2700,3678,-99,56700,71.8,-99,2739,0.01,Eastern Ontario Region 4 - Ontario
35,3504,3504,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1989,"Wheat, all",11400,4600,11100,4500,0.973684211,47.5,-99,3200,527,-99,14300,47.5,-99,3178,-0.01,Eastern Ontario Region 4 - Ontario
35,3505,3505,1989,Barley,37300,15100,35900,14500,0.962466488,61.2,-99,3300,2196,-99,47800,61.2,-99,3297,0.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1989,Corn for grain,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1989,Oats,24500,9900,24100,9800,0.983673469,68.2,-99,2600,1644,-99,25400,68.2,-99,2592,0.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Northern Ontario Region 5 - Ontario
35,3505,3505,1989,"Wheat, all",2100,800,2000,800,0.952380952,42.5,-99,2900,86,-99,2300,43.0,-99,2875,-0.01,Northern Ontario Region 5 - Ontario
35,all,all,1989,Barley,500000,202300,480000,194200,0.96,58.5,-99,3200,28100,-99,611800,58.5,-99,3150,-0.02,Ontario
35,all,all,1989,Corn for grain,1790000,724400,1790000,724400,1,105,-99,6600,188000,-99,4775400,105.0,-99,6592,0.00,Ontario
35,all,all,1989,Oats,280000,113300,275000,111300,0.982142857,62.2,-99,2400,17100,-99,263700,62.2,-99,2369,-0.01,Ontario
35,all,all,1989,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Ontario
35,all,all,1989,"Wheat, all",755000,305600,735000,297500,0.973509934,54.8,-99,3700,40250,-99,1095800,54.8,-99,3683,0.00,Ontario
35,3501,3501,1990,Barley,56100,22700,54900,22200,0.978609626,53.5,-99,2900,2935,-99,63900,53.5,-99,2878,-0.01,Southern Ontario Region 1 - Ontario
35,3501,3501,1990,Corn for grain,997000,403500,953400,385800,0.956268806,117.9,-99,7400,112396,-99,2855000,117.9,-99,7400,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1990,Oats,59900,24200,57300,23200,0.956594324,54.9,-99,2100,3143,-99,48500,54.9,-99,2091,0.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1990,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Southern Ontario Region 1 - Ontario
35,3501,3501,1990,"Wheat, all",480000,194200,456800,184900,0.951666667,64.1,-99,4300,29302,-99,797500,64.1,-99,4313,0.00,Southern Ontario Region 1 - Ontario
35,3502,3502,1990,Barley,226400,91600,221300,89600,0.977473498,58,-99,3100,12839,-99,279500,58.0,-99,3119,0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1990,Corn for grain,495900,200700,474200,191900,0.956241178,101.5,-99,6400,48155,-99,1223200,101.5,-99,6374,0.00,Western Ontario Region 2 - Ontario
35,3502,3502,1990,Oats,66100,26700,63200,25600,0.95612708,62.1,-99,2400,3926,-99,60600,62.1,-99,2367,-0.01,Western Ontario Region 2 - Ontario
35,3502,3502,1990,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Western Ontario Region 2 - Ontario
35,3502,3502,1990,"Wheat, all",252600,102200,240400,97300,0.951702296,67.7,-99,4600,16287,-99,443300,67.7,-99,4556,-0.01,Western Ontario Region 2 - Ontario
35,3503,3503,1990,Barley,53500,21700,52400,21200,0.979439252,59.8,-99,3200,3133,-99,68200,59.8,-99,3217,0.01,Central Ontario Region 3 - Ontario
35,3503,3503,1990,Corn for grain,156700,63400,149900,60600,0.956604978,98.4,-99,6200,14739,-99,374400,98.3,-99,6178,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1990,Oats,41100,16600,39300,15900,0.95620438,60.2,-99,2300,2367,-99,36500,60.2,-99,2296,0.00,Central Ontario Region 3 - Ontario
35,3503,3503,1990,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99,-99,-99.00,Central Ontario Region 3 - Ontario
35,3503,3503,1990,"Wheat, all",81800,33100,77900,31500,0.952322738,52.8,-99,3500,4108,-99,111800,52.7,-99,3549,0.01,Central Ontario Region 3 - Ontario
35,3504,3504,1990,Barley,80400,32500,78600,31800,0.97761194,72.6,-99,3900,5707,-99,124300,72.6,-99,3909,0.00,Eastern Ontario Region 4 - Ontario
35,3504,3504,1990,Corn for grain,180400,73000,172500,69800,0.956208426,120.1,-99,7500,20711,-99,526100,120.1,-99,7537,0.00,Eastern Ontario Region 4 - Ontario
