Manure type,,Moisture content (%),N content (% wet wt),C content (% wet wt),P content (% wet wt),C:N ratio
Bison,Solid Storage,35 (23),0.638 (23),8.58 (3),0.214 (23),13.45
Dairy cattle,Daily spread (24),94.41,0.209,2.19,0.06,10.48
Dairy cattle,Liquid/slurry with natural crust (24),94.41,0.209,2.19,0.06,10.48
Dairy cattle,Liquid/slurry with no natural crust (24),94.41,0.209,2.19,0.06,10.48
Dairy cattle,Liquid/slurry with solid cover (24),94.41,0.209,2.19,0.06,10.48
Dairy cattle,Deep pit under barn,94.41,0.209,2.19,0.06,10.48
Dairy cattle,Anaerobic digestor (25),95,0.106,2.39,-9,22.55
Swine,Liquid/slurry with natural crust (26),95.16,0.325,1.29,0.118,3.97
Swine,Liquid/slurry with no natural crust (26),95.16,0.325,1.29,0.118,3.97
Swine,Liquid/slurry with solid cover (26),95.16,0.325,1.29,0.118,3.97
Swine,Deep pit under barn (26),95.16,0.325,1.29,0.118,3.97
Swine,Anaerobic digestion ,-9,-9,-9,-9,-9
,,,,,,
,,,,,,
"Data on manure composition were organized from multiple publications based on Canadian studies (extension documents, reports, journal publications). Where data from Canada were not available, data were sourced from outside Canada – any non-Canadian data used is indicated in the relevant notes below.",,,,,,
"1 Moisture content and N, C and P content for beef cattle manure deposited on pasture were derived from unpublished data (provided by X. Hao, AAFC). For all other animals on pasture (dairy cattle, sheep and other livestock), the moisture content and C, N and P content values for beef cattle were used where needed, due to a lack of available data for these groups.",,,,,,
"2 Default values for moisture content and N, C and P content for deep bedding manure for beef cattle were averages calculated from data derived from the following sources: Paul and Beauchamp (1994); Hao et al. (2001,2004,2009,2014); Whalen et al. (2002); Miller et al. (2003,2004,2009); Helgason et al. (2005); Larney and Olson (2006); Larney et al. (2006); Zvomuya et al. (2006); Stefankiw (2012). These values were also used for deep bedding for dairy cattle.",,,,,,
"3 Default values for moisture content and C, N and P content for solid storage (stockpiled) manure for beef cattle were averages calculated from data derived from the following sources: Paul and Beauchamp (1993); Olson and Papworth (2002); Sommer et al. (2004); Loro (2005); Pattey et al. (2005); Larney et al. (2006); The Prairie Provinces’ Committee on Livestock Development and Manure Management (2006a,b); Government of Manitoba (2009); Brown (2013). For sheep and other livestock manure in solid storage, the Ccontent for beef cattle manure for solid storage (stockpiled) was used.",,,,,,
"4 Default values for moisture content and C, N and P content for composted passive manure for beef cattle were averages calculated from data derived from the following sources: Paul and Beauchamp (1989,1993,1994); Pattey et al. (2005); Larney and Olson (2006); Larney et al. (2006).",,,,,,
"5 Default values for moisture content and C, N and P content for composted intensive manure for beef cattle were averages calculated from data derived from the following sources: Miller et al. (2004,2009); Hao et al. (2004, 2014); Helgason et al. (2005); Larney and Olson (2006); Zvomuya et al. (2006); Larney et al. (2008,2014); Stefankiw (2012).",,,,,,
"6 The Ncontent of excreted dairy manure (urine + feces) deposited on pasture is from Nennich et al. (2005) as follows: lactating cow: 0.653%; dry cow: 0.591%; heifer: 0.478%; calf: 0.508% (these values were calculated using data in Table 4 in Nennich et al) - as the Ncontent varies so too does the C:N ratio, depending on the animal group; the Pcontent of excreted dairy manure was calculated using data for dairy cows from Hofmann and Beaulieu (2006).",,,,,,
"7 Default values for moisture content and C, N and P content for solid storage (stockpiled) manure for dairy cattle were averages calculated from data derived from the following sources: Pattey et al. (2005); Government of Manitoba (2009); Brown (2013); Manitoba Agriculture, Food and Rural Development (2015); Fillingham et al. (2017); Ackerman et al. (2018).",,,,,,
"8 Default values for moisture content and C, N and P content for composted manure (incl. composted separated solids) for dairy cattle were averages calculated from data derived from the following sources: Paul and Beauchamp (1989,1993); Pattey et al. (2005); Cambareri et al. (2017); Fillingham et al. (2017). The same values are applied to composted passive and composted intensive dairy manure.",,,,,,
"9 Default values for moisture content and C, N and P content for composted manure for swine (liquid manure mixed with straw composted in-vessel) were averages calculated from data derived from the following sources: Thompson et al. (2004); Park et al. (2014).",,,,,,
"10 Values for moisture content of sheep manure (as excreted) from Bell (1983); Ncontent was calculated using data from ECCC (2021) and Hofmann and Beaulieu (2006); Pcontent was calculated from Hofmann and Beaulieu (2006).",,,,,,
"11 Default values for moisture content and N and P content for solid sheep manure were averages calculated from data derived from Brown (2013).",,,,,,
"12 Default values for moisture content and C, N and P content for solid poultry manure were averages calculated from data derived from the following sources: Paul and Beauchamp (1989); Government of Manitoba (2009); Brown (2013); Manitoba Agriculture, Food and Rural Development (2015); Sukler et al. (2015); Government of Alberta (2021).",,,,,,
"13 Default values for moisture content and C, N and P content for sheep manure deposited on pasture were applied to llama and alpaca manure deposited on pasture; the moisture content for sheep manure deposited on pasture was applied to goat manure deposited on pasture.",,,,,,
"14 The Ncontent of goat manure deposited on pasture was calculated using data from ECCC (2021) and Hofmann and Beaulieu (2006); Pcontent was calculated from Hofmann and Beaulieu (2006).",,,,,,
"15 Default values for moisture content for horse manure deposited on pasture were derived from Bell (1983), for Ncontent from Hofmann and Beaulieu (2006) and ECCC (2021), and for Pcontent from Hofmann and Beaulieu (2006).",,,,,,
"16 Moisture content, Ncontent and Pcontent values for horses on pasture used for mules on pasture.",,,,,,
"17 Moisture content, Ncontent, Ccontent and Pcontent values for beef cattle on pasture used for bison on pasture.",,,,,,
"18 Moisture content, Ncontent and Pcontent values for sheep manure in solid storage are used for llama and alpaca manure in solid storage (drylot).",,,,,,
"19 Default values for moisture content, Ncontent and Pcontent values for deer/elk manure in solid storage (drylot) were derived from Government of Alberta (2013,2021).",,,,,,
"20 Moisture content, Ncontent and Pcontent values for manure in solid storage (drylot) for goats derived from Brown (2013); Government of Alberta (2013).",,,,,,
"21 Default values for moisture content, Ncontent and Pcontent for horse manure in solid storage (drylot) were derived from: Brown (2013); Government of Alberta (2013,2021); Sukler et al. (2015); Fraser (2021).",,,,,,
"22 Moisture content, Ncotent and Pcontent values for horse manure in solid storage are used for mule manure in solid storage (drylot).",,,,,,
"23 Default values for moisture content, Ncontent and Pcontent for bison manure in solid storage (drylot) were derived from: Government of Alberta (2013,2021).",,,,,,
"24 Default values for moisture content and C, N and P content for liquid/slurry manure for dairy cattle were averages calculated from data derived from the following sources: Paul and Beauchamp (1989,1993); Pattey et al. (2005); The Prairie Provinces’ Committee on Livestock Development and Manure Management (2006a); Government of Manitoba (2009); VanderZaag et al. (2009,2010a,b); Brown (2013); Manitoba Agriculture, Food and Rural Development (2015); LeRiche et al. (2016); Ngwabie et al. (2016); Fillingham et al. (2017); Ackerman et al. (2018); Balde et al. (2018); Johannesson et al. (2018); Kariyapperuma et al. (2018a,b); Maldaner et al. (2018). These default values are used for all dairy liquid/slurry manure types: ""Daily spread"", ""Liquid with natural crust"", ""Liquid with no natural crust"", ""Liquid with solid cover"" and ""Deep pit under barn"" (pit storage below animal confinement).",,,,,,
"25 Default values for moisture content and C, N and P fractions for anaerobic digestate for dairy cattle were averages calculated from data derived from the following sources: Balde et al. (2018); Evans et al. (2018); Maldaner et al (2018).",,,,,,
"26 Default values for moisture content and C, N and P content for liquid/slurry for swine were averages calculated from data derived from the following sources: Paul and Beauchamp (1989); Fitzgerald and Racz (2001); Olson and Papworth (2002); Dick (2003); Thompson et al. (2004); The Prairie Provinces’ Committee on Livestock Development and Manure Management (2006a,b); Government of Manitoba (2009); Coppi (2012); Brown (2013); Tenuta et al. (2013); Park et al. (2014); Manitoba Agriculture, Food and Rural Development (2015). These default values are used for all swine liquid/slurry manure types: ""Liquid with natural crust"", ""Liquid with no natural crust"", ""Liquid with solid cover"" And ""Deep pit under barn"" (pit storage below animal confinement).",,,,,,
