Table 38a. Fuel usage induced emissions for various crops in diffferent regions of Canada for specific soils and tillage operations (in GJ ha-1),,,,,,,,,,,,,,,,,,Table 38b. Herbicide usage induced emissions for various crops in diffferent regions of Canada for specific soils and tillage operations (in GJ ha-1),,,,,,,,,,,,,,,
,"Alberta, Saskatchewan, Manitoba",,,,,,"Atlanctic Canada, Ontario, Quebec",,,BC,,,,,,,,,"Alberta, Saskatchewan, Manitoba",,,,,,"Atlanctic Canada, Ontario, Quebec",,,BC,,,,,
Triticale,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Triticale,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sorghum,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Sorghum,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Canary seed,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Canary seed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Buckwheat,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Buckwheat,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Grain corn,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Grain corn,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Mixed grains,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Mixed grains,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Durum,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Durum,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Silage,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Corn Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Barley Silage,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Barley Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Oat Silage,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Oat Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Triticale Silage,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Triticale Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Wheat Silage,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Wheat Silage,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oilseeds,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Oilseeds,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Canola,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Canola,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Mustard,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Mustard,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Flax,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Flax,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse crops,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Pulse crops,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Pulse crops,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Pulse crops,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Soybean,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Soybean,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Beans (dry field),2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Beans (dry field),0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Chickpea,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Chickpea,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Dry pea,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Dry pea,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Field Pea,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Field Pea,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Lentil,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42,,,Lentil,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Potato,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Sugar Beets,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42,,,Sugar Beets,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safflower,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Safflower,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sunflower seed,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Sunflower seed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Tobacco,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Vegetables,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Vegetables,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Berries & grapes,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Berries & grapes,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Other field crops,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Other field crops,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter weeds,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Winter weeds,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Red clover (Trifolium pratense L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Red clover (Trifolium pratense L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Berseem clover (Trifolium alexandrium L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Berseem clover (Trifolium alexandrium L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sweet clover (Melilotus officinalis),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Sweet clover (Melilotus officinalis),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Crimson clover (Trifolium incarnatum),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Crimson clover (Trifolium incarnatum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Hairy Vetch (Vicia villosa roth),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Hairy Vetch (Vicia villosa roth),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Alfalfa (Medicago sativa L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Alfalfa (Medicago sativa L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Faba bean/broad bean (Vicia faba),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Faba bean/broad bean (Vicia faba),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Cowpea (Vigna unguiculata),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Cowpea (Vigna unguiculata),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Austrian winter pea,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Austrian winter pea,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Rapeseed (Brassica Napus L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Rapeseed (Brassica Napus L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Forage radish (Raphanus sativus L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Forage radish (Raphanus sativus L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Barley (Hordeum vulgare),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Barley (Hordeum vulgare),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Oat (Avena sativa),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Oat (Avena sativa),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Rye (Secale cereale) / Winter rye / Cereal rye,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Rye (Secale cereale) / Winter rye / Cereal rye,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sesame (Sesamum indicum),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Sesame (Sesamum indicum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Flax (Linum usitatissimum),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Flax (Linum usitatissimum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Ryegrass (Lolium Perenne L.),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Ryegrass (Lolium Perenne L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Annual Ryegrass (Lolium multiflorum),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Annual Ryegrass (Lolium multiflorum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sorghum (Sorghum bicolour),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Sorghum (Sorghum bicolour),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Pigeon Bean,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Pigeon Bean,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Shepherd's purse,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Shepherd's purse,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Winter wheat (Triticum aestivum),2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,Winter wheat (Triticum aestivum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
(Fall) Rye,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42,,,(Fall) Rye,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangeland (native),2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Grassland (native),0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Perennial forages,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Perennial forages,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame grass,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Hay - grass,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame legume,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Hay - legume,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame mixed,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Hay - mixed,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Seeded grassland,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Pasture ,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Forage for seed,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42,,,Forage for seed,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total tree fruits & nuts,,,,,,,,,,,,,,,,,,Total tree fruits & nuts,,,,,,,,,,,,,,,
