,AB,AB,AB,AB,AB,AB,SK,SK,SK,SK,SK,SK,MB,MB,MB,MB,MB,MB,ON,ON,ON,QC,QC,QC,NB,NB,NB,NS,NS,NS,NFLD,NFLD,NFLD,PEI,PEI,PEI,BC,BC,BC,BC,BC,BC
Barley Silage,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Oat Silage,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Triticale Silage,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Wheat Silage,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Oilseeds,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Canola,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Mustard,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Flax,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Pulse crops,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Pulse crops,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Soybean,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Beans (dry field),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Chickpea,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Dry pea,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Field Pea,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Lentil,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,3.11,2.13,1.72,2.63,2.39,1.43,2.02,1.78,1.42
Potato,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Sugar Beets,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,3.29,2.3,1.9,2.63,2.39,1.43,2.02,1.78,1.42
Safflower,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Sunflower seed,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Tobacco,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Vegetables,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Berries & grapes,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Other field crops,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Winter weeds,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Red clover (Trifolium pratense L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Berseem clover (Trifolium alexandrium L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Sweet clover (Melilotus officinalis),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Crimson clover (Trifolium incarnatum),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Hairy Vetch (Vicia villosa roth),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Alfalfa (Medicago sativa L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Faba bean/broad bean (Vicia faba),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Cowpea (Vigna unguiculata),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Austrian winter pea,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Rapeseed (Brassica Napus L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Forage radish (Raphanus sativus L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Barley (Hordeum vulgare),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Oat (Avena sativa),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Rye (Secale cereale) / Winter rye / Cereal rye,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Sesame (Sesamum indicum),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Flax (Linum usitatissimum),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Ryegrass (Lolium Perenne L.),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Annual Ryegrass (Lolium multiflorum),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Sorghum (Sorghum bicolour),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Pigeon Bean,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Shepherd's purse,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Winter wheat (Triticum aestivum),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
(Fall) Rye,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.83,1.8,1.34,2.63,2.39,1.43,2.02,1.78,1.42
Rangeland (native),2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Perennial forages,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Tame grass,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Tame legume,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Tame mixed,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Seeded grassland,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
Forage for seed,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,2.63,2.39,1.43,2.02,1.78,1.42,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,2.63,2.39,1.43,2.02,1.78,1.42
