,AB,AB,AB,AB,AB,AB,SK,SK,SK,SK,SK,SK,MB,MB,MB,MB,MB,MB,ON,ON,ON,QC,QC,QC,NB,NB,NB,NS,NS,NS,NFLD,NFLD,NFLD,PEI,PEI,PEI,BC,BC,BC,BC,BC,BC
Sugar Beets,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.46,0.16,0.23,0.46
Safflower,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sunflower seed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Tobacco,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Vegetables,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Berries & grapes,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Other field crops,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Winter weeds,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Red clover (Trifolium pratense L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Berseem clover (Trifolium alexandrium L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sweet clover (Melilotus officinalis),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Crimson clover (Trifolium incarnatum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Hairy Vetch (Vicia villosa roth),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Alfalfa (Medicago sativa L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Faba bean/broad bean (Vicia faba),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Cowpea (Vigna unguiculata),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Austrian winter pea,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Rapeseed (Brassica Napus L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
"Winter turnip rape [Brassica Rapa spp. oleifera L. (cv. ""Largo"")]",0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Phacelia [Phacelia tanacetifolia (cv. 'Phaci')],0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Forage radish (Raphanus sativus L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Barley (Hordeum vulgare),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Oat (Avena sativa),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Rye (Secale cereale) / Winter rye / Cereal rye,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sesame (Sesamum indicum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Flax (Linum usitatissimum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Ryegrass (Lolium Perenne L.),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Annual Ryegrass (Lolium multiflorum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Sorghum (Sorghum bicolour),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Pigeon Bean,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Shepherd's purse,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Winter wheat (Triticum aestivum),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
(Fall) Rye,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.24,0.24,0.16,0.23,0.46,0.16,0.23,0.46
Rangeland (native),0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Perennial forages,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame grass,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame legume,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Tame mixed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Seeded grassland,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
Forage for seed,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0.16,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,0.46,0.16,0.23,0.46
