
Year,ID,Province,Soil Type,Group,Crop ID,Crop,"unit (bu, t, etc)",Yield,Crop Price,Seed,Fertilizer,Chemical,Trucking and Marketing,Fuel Oil Lube,Machinery Repairs,Crop Insurance,Building Repairs,Custom Work,Labour,Utilities,Operating Interest,Fixed Cost $/Acre,Variable Cost $/acre,Total Costs $/Acre,Notes,Source
2021,11,Saskatchewan,Dark Brown,Small-grain cereals,5,Barley,bu,69.9,5.2,36.87,50.59,105.73,0,15.4,10.15,4.26,0.65,21.05,0,4.23,4.88,109.53,253.17,362.7,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,12,Saskatchewan,Black,Small-grain cereals,7,Oats,bu,145.9,3.33,43.78,66.82,51.23,0,19.25,11.49,7.14,0.88,21.05,0,4.88,4.81,119.57,249.56,369.14,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,13,Saskatchewan,Brown,Small-grain cereals,7,Oats,bu,81.1,3.33,43.78,37.23,51.23,0,12.32,9,8.33,0.49,20.8,0,3.23,3.66,95.34,189.58,284.92,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,14,Saskatchewan,Dark Brown,Small-grain cereals,7,Oats,bu,110.2,3.33,43.78,50.6,51.23,0,15.4,10.15,7.88,0.65,21.05,0,4.23,4.02,109.53,208.34,317.87,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,15,Saskatchewan,Dark Brown,Small-grain cereals,10,Canary seed,lb,1918,0.28,18.2,72.93,63.96,0,18.12,10.15,7.35,0.65,22.05,0,4.23,4.27,109.53,221.26,330.79,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,16,Saskatchewan,Black,Small-grain cereals,12,Grain corn,bu,117.7,4.85,96.3,86.86,76.81,0,21.52,14.1,10.7,0.88,58.26,0,4.88,7.27,134.46,376.7,511.17,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,17,Saskatchewan,Brown,Small-grain cereals,12,Grain corn,bu,76.8,4.85,96.3,56.79,76.81,0,13.77,11.61,6.47,0.49,49.04,0,3.23,6.18,110.23,320.2,430.43,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,18,Saskatchewan,Dark Brown,Small-grain cereals,12,Grain corn,bu,76.8,4.85,96.3,56.79,65.86,0,17.21,12.76,7.31,0.65,45.48,0,4.23,6.02,124.42,311.97,436.38,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,19,Saskatchewan,Black,Oilseeds,20,Canola,bu,56,11.25,79.55,92.96,114.36,0,20.39,11.49,8.6,0.88,21.05,0,4.88,6.95,119.57,360.23,479.8,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,20,Saskatchewan,Brown,Oilseeds,20,Canola,bu,48.06,11.25,79.55,80.01,79.44,0,13.05,9,10.4,0.49,21.05,0,3.23,5.82,95.34,301.54,396.89,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,21,Saskatchewan,Dark Brown,Oilseeds,20,Canola,bu,52,11.25,79.55,86.38,107.57,0,16.31,10.15,8.16,0.65,21.05,0,4.23,6.56,109.53,339.96,449.49,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,22,Saskatchewan,Brown,Oilseeds,21,Mustard,lb,1301,0.35,23.64,41.53,50.7,0,19.03,9,7.07,0.49,20.3,0,3.23,3.43,95.34,177.92,273.26,Brown,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,23,Saskatchewan,Brown,Oilseeds,21,Mustard,lb,1389,0.3,20.64,43.43,50.7,0,19.03,9,5.87,0.49,20.3,0,3.23,3.39,95.34,175.59,270.93,Oriental,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,24,Saskatchewan,Brown,Oilseeds,21,Mustard,lb,1168,0.42,34.4,38.19,42.24,0,19.03,9,8.47,0.49,20.3,0,3.23,3.44,95.34,178.29,273.63,Yellow,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,25,Saskatchewan,Black,Oilseeds,22,Flax,bu,37.4,13.97,22.96,53.96,83.18,0,19.25,11.49,6.43,0.88,21.05,0,4.88,4.39,119.57,227.59,347.17,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,26,Saskatchewan,Brown,Oilseeds,22,Flax,bu,30.3,13.97,19.92,43.93,71.6,0,12.32,9,9.01,0.49,20.8,0,3.23,3.73,95.34,193.54,288.88,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,27,Saskatchewan,Dark Brown,Oilseeds,22,Flax,bu,34.3,13.97,21.58,49.66,99.73,0,15.4,10.15,7.02,0.65,21.05,0,4.23,4.5,109.53,233.33,342.86,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,28,Saskatchewan,Black,Pulse crops,25,Soybean,bu,37.5,10.93,112,16.11,56.99,0,21.52,11.49,3.69,0.88,23.05,0,4.88,4.91,119.57,254.65,374.22,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,29,Saskatchewan,Brown,Pulse crops,25,Soybean,bu,32,10.93,112,13.83,56.99,0,13.77,9,5.68,0.49,22.3,0,3.23,4.66,95.34,241.46,336.8,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,30,Saskatchewan,Dark Brown,Pulse crops,25,Soybean,bu,34.5,10.93,112,14.97,56.99,0,17.21,10.15,4.53,0.65,22.05,0,4.23,4.76,109.53,246.9,356.43,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,31,Saskatchewan,Dark Brown,Pulse crops,26,Beans (dry field),lb,1200,0.33,85.14,12.89,128.09,0,17.21,10.15,13.4,0.65,19.8,0,4.23,5.72,109.53,296.64,406.17,Black Bean,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,32,Saskatchewan,Black,Pulse crops,28,Fababean,lb,3902,0.12,42.23,29.38,107.51,0,19.93,11.49,10.81,0.88,19.8,0,4.88,4.84,119.57,250.88,370.45,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,33,Saskatchewan,Brown,Pulse crops,29,Chickpea,lb,2138,0.3,52.87,20.44,112.14,0,19.93,9,12.25,0.49,19.8,0,3.23,4.91,95.34,254.57,349.91,Desi,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,34,Saskatchewan,Brown,Pulse crops,29,Chickpea,lb,2491,0.3,74.71,22.34,112.14,0,19.93,9,11.64,0.49,19.8,0,3.23,5.36,95.34,278.15,373.49,"Kabuli, Large",\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,35,Saskatchewan,Brown,Pulse crops,29,Chickpea,lb,2161,0.25,59.59,18.54,112.14,0,19.93,9,11.14,0.49,19.8,0,3.23,4.98,95.34,258.35,353.69,"Kabuli, Small",\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,36,Saskatchewan,Black,Pulse crops,32,Lentil,lb,1918,0.27,54.87,12.07,89.13,0,21.52,11.49,12.03,0.88,22.8,0,4.88,4.5,119.57,233.3,352.87,Large Green,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,37,Saskatchewan,Black,Pulse crops,32,Lentil,lb,2491,0.25,40.29,16.11,89.13,0,21.52,11.49,8.21,0.88,22.8,0,4.88,4.22,119.57,218.66,218.66,Red,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,38,Saskatchewan,Brown,Pulse crops,32,Lentil,lb,1676,0.27,54.87,11.15,90.87,0,13.77,9,9.86,0.49,21.8,0,3.23,4.22,95.34,218.77,314.11,Large Green,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,39,Saskatchewan,Brown,Pulse crops,32,Lentil,lb,1940,0.25,40.29,12.69,90.87,0,13.77,9,9.3,0.49,21.8,0,3.23,3.95,95.34,204.9,204.9,Red,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,40,Saskatchewan,Dark Brown,Pulse crops,32,Lentil,lb,1852,0.27,54.87,12.07,90.87,0,17.21,10.15,10.52,0.65,21.05,0,4.23,4.35,109.53,225.34,334.87,Large Green,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,41,Saskatchewan,Dark Brown,Pulse crops,32,Lentil,lb,2205,0.25,40.29,13.83,90.87,0,17.21,10.15,9.47,0.65,21.05,0,4.23,4.07,109.53,211.18,211.18,Red,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,42,Saskatchewan,Dark Brown,Other field crops,37,Sunflower seed,lb,2293,0.25,55.12,76.19,86.83,0,19.93,10.15,7.43,0.65,20.8,0,4.23,5.52,109.53,286.21,395.74,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,43,Saskatchewan,Black,Cover crops,49,Faba bean/broad bean (Vicia faba),lb,3902,0.12,42.23,29.38,107.51,0,19.93,11.49,10.81,0.88,19.8,0,4.88,4.84,119.57,250.88,370.45,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,44,Saskatchewan,Brown,Cover crops,56,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),lb,1301,0.35,23.64,41.53,50.7,0,19.03,9,7.07,0.49,20.3,0,3.23,3.43,95.34,177.92,273.26,Brown,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,45,Saskatchewan,Brown,Cover crops,56,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),lb,1389,0.3,20.64,43.43,50.7,0,19.03,9,5.87,0.49,20.3,0,3.23,3.39,95.34,175.59,270.93,Oriental,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,46,Saskatchewan,Brown,Cover crops,56,Mustard (Sinapus alba L. subsp. Mairei (H. Lindb.) Maire),lb,1168,0.42,34.4,38.19,42.24,0,19.03,9,8.47,0.49,20.3,0,3.23,3.44,95.34,178.29,273.63,Yellow,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,47,Saskatchewan,Black,Cover crops,57,Barley (Hordeum vulgare),bu,96.5,4.37,31.82,70.15,47.73,0,19.25,11.49,4.9,0.88,21.05,0,4.88,4.53,119.57,234.91,354.48,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,48,Saskatchewan,Black,Cover crops,57,Barley (Hordeum vulgare),bu,78.3,5.2,41.95,56.8,105.73,0,19.25,11.49,3.98,0.88,21.05,0,4.88,5.21,119.57,270.35,389.92,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,49,Saskatchewan,Brown,Cover crops,57,Barley (Hordeum vulgare),bu,78.1,4.37,25.46,56.8,47.73,0,12.32,9,5.84,0.49,20.8,0,3.23,3.56,95.34,184.74,280.08,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,50,Saskatchewan,Brown,Cover crops,57,Barley (Hordeum vulgare),bu,63.9,5.2,33.7,46.77,105.73,0,12.32,9,4.79,0.49,20.8,0,3.23,4.65,95.34,240.98,336.32,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,51,Saskatchewan,Dark Brown,Cover crops,57,Barley (Hordeum vulgare),bu,85.4,4.37,28.06,62.04,47.73,0,15.4,10.15,5.2,0.65,21.05,0,4.23,3.81,109.53,197.68,307.21,Feed,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,52,Saskatchewan,Dark Brown,Cover crops,57,Barley (Hordeum vulgare),bu,69.9,5.2,36.87,50.59,105.73,0,15.4,10.15,4.26,0.65,21.05,0,4.23,4.88,109.53,253.17,362.7,Malt,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,53,Saskatchewan,Black,Cover crops,58,Oat (Avena sativa),bu,145.9,3.33,43.78,66.82,51.23,0,19.25,11.49,7.14,0.88,21.05,0,4.88,4.81,119.57,249.56,369.14,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,54,Saskatchewan,Brown,Cover crops,58,Oat (Avena sativa),bu,81.1,3.33,43.78,37.23,51.23,0,12.32,9,8.33,0.49,20.8,0,3.23,3.66,95.34,189.58,284.92,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,55,Saskatchewan,Dark Brown,Cover crops,58,Oat (Avena sativa),bu,110.2,3.33,43.78,50.6,51.23,0,15.4,10.15,7.88,0.65,21.05,0,4.23,4.02,109.53,208.34,317.87,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,56,Saskatchewan,Black,Cover crops,59,Rye (Secale cereale) / Winter rye / Cereal rye,bu,78.3,5.1,67.2,61.57,22.3,0,19.25,11.49,5.8,0.88,21.05,0,4.88,9.45,119.57,223,342.57,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,57,Saskatchewan,Brown,Cover crops,59,Rye (Secale cereale) / Winter rye / Cereal rye,bu,50.8,5.1,67.2,40.09,22.3,0,12.32,9,8.5,0.49,20.8,0,3.23,8.12,95.34,191.56,286.9,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,58,Saskatchewan,Dark Brown,Cover crops,59,Rye (Secale cereale) / Winter rye / Cereal rye,bu,66.9,5.1,67.2,52.97,22.3,0,15.4,10.15,5.76,0.65,20.8,0,4.23,8.8,109.53,207.63,317.16,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,59,Saskatchewan,Black,Cover crops,61,Flax (Linum usitatissimum),bu,37.4,13.97,22.96,53.96,83.18,0,19.25,11.49,6.43,0.88,21.05,0,4.88,4.39,119.57,227.59,347.17,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,60,Saskatchewan,Brown,Cover crops,61,Flax (Linum usitatissimum),bu,30.3,13.97,19.92,43.93,71.6,0,12.32,9,9.01,0.49,20.8,0,3.23,3.73,95.34,193.54,288.88,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,61,Saskatchewan,Dark Brown,Cover crops,61,Flax (Linum usitatissimum),bu,34.3,13.97,21.58,49.66,99.73,0,15.4,10.15,7.02,0.65,21.05,0,4.23,4.5,109.53,233.33,342.86,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,62,Saskatchewan,Black,Cover crops,67,Winter wheat (Triticum aestivum),bu,71.3,5.83,36.82,57.74,63.62,0,19.25,11.49,6.82,0.88,23.05,0,4.88,10.74,119.57,253.51,373.08,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,63,Saskatchewan,Brown,Cover crops,67,Winter wheat (Triticum aestivum),bu,59.5,5.83,36.82,48.19,63.62,0,12.32,9,8.34,0.49,22.3,0,3.23,9.02,95.34,212.84,308.18,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,64,Saskatchewan,Dark Brown,Cover crops,67,Winter wheat (Triticum aestivum),bu,60.3,5.83,36.82,49.15,63.62,0,15.4,10.15,8.37,0.65,22.05,0,4.23,10.13,109.53,239.02,348.55,,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,65,Saskatchewan,Black,Cover crops,68,(Fall) Rye,bu,78.3,5.1,67.2,61.57,22.3,0,19.25,11.49,5.8,0.88,21.05,0,4.88,9.45,119.57,223,342.57,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,66,Saskatchewan,Brown,Cover crops,68,(Fall) Rye,bu,50.8,5.1,67.2,40.09,22.3,0,12.32,9,8.5,0.49,20.8,0,3.23,8.12,95.34,191.56,286.9,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,67,Saskatchewan,Dark Brown,Cover crops,68,(Fall) Rye,bu,66.9,5.1,67.2,52.97,22.3,0,15.4,10.15,5.76,0.65,20.8,0,4.23,8.8,109.53,207.63,317.16,Hybrid Fall Rye,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Saskatchewan\Saskatchewan Crop Production Guide 2021.pdf
2021,68,Manitoba,Black,Small-grain cereals,3,Wheat,bu,61,6.75,29,76.9,47.23,0,21.64,12.88,12.99,0,0,4.8,7.75,5.29,136.6,240.4,401, Hard Red Spring,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Manitoba\manitoba 2021 crop production cost estimator.pdf
2021,69,Manitoba,Black,Small-grain cereals,3,Wheat,bu,70,6.25,27,83.87,47.23,0,22.38,12.88,15.13,0,0,4.8,7.75,5.49,136.6,249.49,410.09,Northern Hard Red,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Manitoba\manitoba 2021 crop production cost estimator.pdf
2021,70,Manitoba,Black,Small-grain cereals,3,Wheat,bu,70,5.75,27,83.87,47.23,0,22.38,12.88,13.01,0,0,4.8,7.75,5.44,136.6,247.31,407.91,Prairie Spring,\\letemci01-cifs.efs.agr.gc.ca\common\Group_Shares\GHG_Software\Economic Components\Crop Production Budget\Sources\Manitoba\manitoba 2021 crop production cost estimator.pdf
