,,BC,AB,SK,MB,ON,QC
,Total annual beef manure N applied (kg ha-1),5.881389351,18.07389375,9.138655467,1.802740944,3.27381485,6.460165821
Dairy cattle,Liquid systems,,,,,,
,Jan,0.833550423,0.218143537,0.049800728,0.053608583,0.315973614,0.999542479
,Feb,0.971320813,0.218143537,0.049800728,0.053608583,0.315973614,0.999542479
,Mar,1.629697306,0.218801033,0.049950831,0.054680057,0.331153637,1.04805406
,Apr,1.279069065,0.239117479,0.054588941,0.060428191,0.402004131,1.581939029
,May,1.237012127,0.229861379,0.052475834,0.066418461,0.839480233,5.660936537
,Jun,1.162729626,0.224567084,0.051267182,0.063806315,0.898604799,3.962494586
,Jul,1.077539454,0.218749887,0.049939154,0.057626435,0.9002384,5.385536724
,Aug,1.049144237,0.22044713,0.050326624,0.057534339,0.845737753,3.566921285
,Sep,1.257380347,0.228308826,0.052121397,0.068782347,0.763137104,4.463602041
,Oct,1.400419159,0.233575529,0.05332375,0.061319948,0.635399592,2.252933609
,Nov,0.852480568,0.223375918,0.050995247,0.054712797,0.349128433,1.224466637
,Dec,0.812517432,0.217762633,0.049713771,0.053838706,0.315973614,0.999542479
,Solid systems,,,,,,
,Jan,0.018927923,0.013247762,0.006505299,0.002807297,0.052229912,0
,Feb,0.026105485,0.013247762,0.006505299,0.002807297,0.021036006,0
,Mar,0.175426473,0.02063408,0.010132342,0.003472511,0.023971795,0
,Apr,0.124509859,0.162699641,0.079893479,0.025989625,0.108066584,0.216605865
,May,0.112601249,0.073270791,0.035979541,0.041943388,0.315911072,1.22135428
,Jun,0.112019759,0.030618772,0.015035314,0.016761435,0.151158795,0.299569869
,Jul,0.04182924,0.012848506,0.006309245,0.00758821,0.308491449,0.854689927
,Aug,0.067421535,0.040966566,0.020116587,0.025253731,0.25305152,0.471865297
,Sep,0.181284671,0.068267646,0.033522752,0.02626363,0.511329981,1.295351248
,Oct,0.155479635,0.137967981,0.067749025,0.037190677,0.364700821,0.706248671
,Nov,0.085101381,0.033758356,0.016577004,0.01068502,0.131480763,0.091414901
,Dec,0.018927923,0.014291212,0.007017684,0.003264795,0.048522962,0.004301149
,Total annual dairy manure N applied (kg ha-1),14.68249569,3.312673047,0.919647757,0.910392379,9.202756586,37.30691315
Swine,Liquid systems,,,,,,
,Jan,0.030492657,0.052086595,0.039843817,0.081233171,0.00597076,0
,Feb,0.039767356,0.044324934,0.033906508,0.040692832,0.004794727,0
,Mar,0.079439066,0.057834493,0.044240691,0.05244693,0.033530916,0
,Apr,0.081592062,0.340675352,0.26060076,0.490914063,0.331592251,0.459356038
,May,0.110005297,0.421561713,0.322475055,0.45823868,0.775916892,7.374431165
,Jun,0.065023171,0.148121082,0.113305721,0.308435914,0.286392444,2.268024502
,Jul,0.057846152,0.156727244,0.119889034,0.168685679,0.361939664,3.515628435
,Aug,0.05525934,0.114628275,0.087685286,0.201571701,0.489336486,2.537652363
,Sep,0.076176462,0.41390154,0.31661538,0.389666891,0.454319653,3.692657185
,Oct,0.144064664,0.558176543,0.42697903,0.862698576,0.467065516,1.116680395
,Nov,0.048469812,0.105870189,0.080985758,0.199745065,0.161154647,0.23656836
,Dec,0.029225275,0.045972726,0.035166992,0.036775165,0.014660198,0
,Solid systems,,,,,,
,Jan,0.001813095,0.004546581,0.003115719,0.001047808,0.000636949,0.005172444
,Feb,0.001204787,0.002381536,0.001632039,0.000187309,0.000489537,0.004236944
,Mar,0.005356441,0.002381536,0.001632039,0.000187309,0.001951367,0.005172444
,Apr,0.008778134,0.0292856,0.020069078,0.006124715,0.008627971,0.04220491
,May,0.013004663,0.039149878,0.026828953,0.010084746,0.017886461,0.174573761
,Jun,0.00286006,0.009661084,0.006620628,0.002912597,0.004558809,0.037536171
,Jul,0.011563374,0.012075942,0.008275502,0.004786437,0.011085754,0.079262806
,Aug,0.002526664,0.0067466,0.004623366,0.001720153,0.009635975,0.048048286
,Sep,0.016353709,0.01305351,0.008945418,0.004249972,0.00744991,0.070730817
,Oct,0.007463309,0.038487708,0.026375175,0.017111168,0.005428688,0.023331402
,Nov,0.004679086,0.013040403,0.008936436,0.00454832,0.005008084,0.009569711
,Dec,0.000292335,0.002381536,0.001632039,0.000187309,0.000944064,0.005359543
,Total annual swine manure N applied (kg ha-1),0.893256971,2.633072603,2.000380422,3.34425251,3.460377721,21.70619768
Sheep,Solid systems,,,,,,
,Jan,0.000576539,0,0.000161894,2.52E-05,0.000677537,0
,Feb,0.000795166,0,0.000209954,3.35E-05,0.000843129,0
,Mar,0.005343442,0,0.000381603,7.33E-05,0.001605023,0
,Apr,0.003792536,0,0.002170518,0.0002515,0.006440648,0.029741848
,May,0.003429803,0,0.004116759,0.001151077,0.014422381,0.09728915
,Jun,0.003412091,0,0.002712932,0.000766503,0.005748709,0.020029918
,Jul,0.001274107,0,0.001876006,0.000625611,0.006762364,0.018459161
,Aug,0.002053642,0,0.002454599,0.001457731,0.010113085,0.046372275
,Sep,0.005521881,0,0.005975265,0.002334062,0.012232913,0.058894832
,Oct,0.004735867,0,0.009044084,0.002686815,0.00813817,0.039905318
,Nov,0.002592165,0,0.003190771,0.00100762,0.002081851,0
,Dec,0.000576539,0,0.000260173,2.55E-05,0.000677537,0
,Total annual sheep manure N applied (kg ha-1),0.03410378,0,0.032554558,0.010438489,0.069743349,0.310692502
Poultry,Liquid systems,,,,,,
,Jan,0.00248833,0.005465398,0.000301997,0.003745899,2.86E-05,0
,Feb,0.003245185,0.004650974,0.000256995,0.001876465,2.30E-05,0
,Mar,0.006482566,0.00606852,0.000335323,0.002418481,0.00016051,0
,Apr,0.006658259,0.035746749,0.001975227,0.022637483,0.001587311,0.016175971
,May,0.0089769,0.04423408,0.002444204,0.021130725,0.003714265,0.259686556
,Jun,0.005306167,0.015542208,0.000858802,0.014222882,0.001370942,0.079867241
,Jul,0.004720492,0.016445244,0.0009087,0.00777859,0.001732582,0.12380093
,Aug,0.004509397,0.012027839,0.000664612,0.00929506,0.002342423,0.089362039
,Sep,0.006216323,0.043430305,0.00239979,0.017968679,0.002174799,0.130034901
,Oct,0.011756289,0.058568947,0.003236293,0.039781553,0.002235813,0.039323289
,Nov,0.003955343,0.011108861,0.000613833,0.009210829,0.000771437,0.008330625
,Dec,0.002384907,0.004823876,0.000266549,0.00169581,7.02E-05,0
,Solid systems,,,,,,
,Jan,0.090558378,0.01209548,0.005275523,0.003369686,0.010304202,0.042822658
,Feb,0.060175291,0.006335711,0.002763362,0.000602375,0.007919453,0.03507766
,Mar,0.267537273,0.006335711,0.002763362,0.000602375,0.031568115,0.042822658
,Apr,0.438440007,0.07790983,0.033980882,0.019696716,0.139578466,0.349414432
,May,0.64954178,0.104152225,0.045426674,0.032431938,0.289357099,1.445296089
,Jun,0.142850934,0.025701827,0.01121002,0.009366737,0.073749854,0.310761943
,Jul,0.577553955,0.032126186,0.014012046,0.015392893,0.179339088,0.656216736
,Aug,0.126198873,0.017948292,0.007828265,0.00553191,0.15588538,0.397791739
,Sep,0.444047369,0.034726854,0.015146345,0.013667655,0.120520446,0.585580403
,Oct,0.372768659,0.102390622,0.04465834,0.055028489,0.087822258,0.193160667
,Nov,0.233705544,0.034691986,0.015131136,0.014627124,0.081017973,0.079227634
,Dec,0.014601228,0.006335711,0.002763362,0.000602375,0.015272529,0.044371658
,Total annual poultry manure N applied (kg ha-1),3.417979291,0.460750434,0.200959316,0.170920271,1.192334863,4.18254428
,Overall total (kg manure N ha-1),24.90922508,24.48038984,12.29219752,6.238744592,17.19902737,69.96651344
